Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,PHP_ID,PHP_Name,PHP_Homepage,PHP_Repo
67787,org.webjars.bower:github-com-techlab-SmartWizard,http://webjars.org,https://github.com/techlab/SmartWizard,372214,techlab/smartwizard,,https://github.com/techlab/SmartWizard
68177,org.webjars.bower:github-com-heimrichhannot-bootstrap-select,http://webjars.org,https://github.com/heimrichhannot/bootstrap-select,152344,heimrichhannot/bootstrap-select,,https://github.com/heimrichhannot/bootstrap-select
69122,org.webjars.bower:bootstrap-colorpicker,http://webjars.org,https://github.com/farbelous/bootstrap-colorpicker,175091,itsjavi/bootstrap-colorpicker,,https://github.com/farbelous/bootstrap-colorpicker
67652,org.webjars.bower:handlebars,https://www.webjars.org,https://github.com/components/handlebars.js,72421,components/handlebars.js,,https://github.com/components/handlebars.js
67401,org.webjars.bower:jquery-timeago,https://www.webjars.org,https://github.com/rmm5t/jquery-timeago,320251,rmm5t/jquery-timeago,,https://github.com/rmm5t/jquery-timeago
68989,org.webjars.bower:chosen,http://webjars.org,https://github.com/harvesthq/chosen-package,150861,harvesthq/chosen,,https://github.com/harvesthq/chosen-package
66578,org.webjars.bower:sass-bootstrap,http://webjars.org,git://github.com/jlong/sass-bootstrap-defunct.git,184759,jlong/sass-bootstrap,,https://github.com/jlong/sass-bootstrap-defunct
67348,org.webjars.bower:jqurey,http://webjars.org,https://github.com/components/jquery,72426,components/jquery,,https://github.com/components/jquery
128531,org.nuiton.js:nuiton-js-html5shiv,https://github.com/aFarkas/html5shiv,http://www.nuiton.org/repositories/browse/nuiton-js/nuiton-js-html5shiv/tags/nuiton-js-html5shiv-3.7.2-1,7596,afarkas/html5shiv,,https://github.com/aFarkas/html5shiv
67612,org.webjars.bower:html5-boilerplate-bower,http://webjars.org,https://github.com/components/html5-boilerplate,72423,components/html5-boilerplate,,https://github.com/components/html5-boilerplate
68652,org.webjars.bower:framework7-icons,http://webjars.org,https://github.com/nolimits4web/Framework7-Icons,268303,nolimits4web/framework7-icons,,https://github.com/nolimits4web/Framework7-Icons
68753,org.webjars.bower:ember,http://webjars.org,https://github.com/components/ember,72413,components/ember,,https://github.com/components/ember
68916,org.webjars.bower:css-reset,http://webjars.org,https://github.com/ivangabriele/CSS-Reset,72408,components/css-reset,,https://github.com/ivangabriele/CSS-Reset
68948,org.webjars.bower:components-backbone,http://webjars.org,https://github.com/components/backbone,72397,components/backbone,,https://github.com/components/backbone
211525,org.citationstyles:locales,https://citationstyles.org/,https://github.com/citation-style-language/locales,64671,citation-style-language/locales,,https://github.com/citation-style-language/locales
261080,net.xp-lang:compiler,https://github.com/xp-framework/xp-language,https://github.com/xp-lang/compiler,420196,xp-lang/compiler,,https://github.com/xp-lang/compiler
261097,net.xp-forge:stomp,https://github.com/xp-forge/stomp,https://github.com/xp-forge/stomp,420150,xp-forge/stomp,,https://github.com/xp-forge/stomp
272028,net.linkpc.test1:test1,https://github.com/MuruganandamAlwar/test1,https://github.com/MuruganandamAlwar/test1,374302,test-1234/hello-world-app,,https://github.com/MuruganandamAlwar/test1
284160,name.dmaus.schxslt:schxslt-redux-xslt1,https://doi.org/10.5281/zenodo.7268370,https://github.com/schxslt/schxslt-redux-xslt1,332278,schxslt/redux-xslt1,,https://github.com/schxslt/schxslt-redux-xslt1
539096,com.sarehub:client,https://sarehub.github.io/PHP_Client/,https://github.com/SAREhub/PHP_Client,330055,sarehub/client,,https://github.com/SAREhub/PHP_Client
643034,com.github.javadev:moneytostr,https://github.com/javadev/moneytostr,https://github.com/javadev/moneytostr,179656,javadev/moneytostr-russian,,https://github.com/javadev/moneytostr
