Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
42891,do_username,https://github.com/MattIPv4/do_username/tree/master/rust#readme,https://github.com/MattIPv4/do_username/,1765420,do_username,https://github.com/MattIPv4/do_username/tree/master/javascript#readme,git+https://github.com/MattIPv4/do_username.git,42279,do_username,https://github.com/MattIPv4/do_username/tree/master/ruby#readme,https://github.com/MattIPv4/do_username
104225,auto-traffic-control,https://auto-traffic-control.com,https://github.com/jdno/auto-traffic-control,1399646,auto-traffic-control,https://auto-traffic-control.com,git+https://github.com/jdno/auto-traffic-control.git,10293,atc,https://auto-traffic-control.com,https://github.com/jdno/auto-traffic-control
105799,probability_to_friendly_string,https://github.com/gregstoll/probabilityToFriendlyString,,2889629,probability-to-friendly-string,https://github.com/gregstoll/probabilityToFriendlyString#readme,git+https://github.com/gregstoll/probabilityToFriendlyString.git,124344,probability_to_friendly_string,https://github.com/gregstoll/probabilityToFriendlyString,https://github.com/gregstoll/probabilityToFriendlyString
138067,pagebreak,https://pagebreak.app/,https://github.com/CloudCannon/pagebreak/,2803797,pagebreak-windows-x64,https://github.com/cloudcannon/pagebreak#readme,git+https://github.com/cloudcannon/pagebreak.git,81004,jekyll-pagebreak,https://github.com/CloudCannon/pagebreak,https://github.com/CloudCannon/pagebreak
163407,ruby-prism,,https://github.com/ruby/prism,944198,@ruby/prism,https://github.com/ruby/prism#readme,git+https://github.com/ruby/prism.git,187060,yarp,https://github.com/ruby/prism,https://github.com/ruby/prism
214260,tucana,https://code0.tech,https://github.com/code0-tech/tucana,226985,@code0-tech/tucana,https://github.com/code0-tech/tucana#readme,git+https://github.com/code0-tech/tucana.git,174274,tucana,https://github.com/code0-tech/tucana,https://github.com/code0-tech/tucana
171050,scjson,https://github.com/softoboros/scjson,https://github.com/softoboros/scjson,3154119,scjson,https://github.com/SoftOboros/scjson#readme,git+https://github.com/SoftOboros/scjson.git,148239,scjson,https://github.com/SoftOboros/scjson,https://github.com/SoftOboros/scjson
181463,rhythm-cli,,https://github.com/maxnorth/rhythm,3091029,rhythm-nodejs,https://github.com/maxnorth/rhythm#readme,git+https://github.com/maxnorth/rhythm.git,138171,rhythm-async,https://github.com/maxnorth/rhythm,https://github.com/maxnorth/rhythm
199464,css-inline,,https://github.com/Stranger6667/css-inline,1677530,css-inline-wasm-bundler,https://github.com/Stranger6667/css-inline#readme,git+https://github.com/Stranger6667/css-inline.git,33992,css_inline,https://github.com/Stranger6667/css-inline,https://github.com/Stranger6667/css-inline/tree/master/bindings/ruby
204295,herb,,https://github.com/marcoroth/herb,3282209,stimulus-lint,https://herb-tools.dev,git+https://github.com/marcoroth/herb.git,70844,herb,https://herb-tools.dev,https://github.com/marcoroth/herb
